Date,Avrage_value
2/29/2020,58.0875
3/1/2020,63.23125
3/2/2020,70.546875
3/3/2020,69.834375
3/4/2020,65.5625
3/5/2020,65.221875
3/6/2020,62.95625
3/7/2020,62.2125
3/8/2020,52.734375
3/9/2020,50.134375
3/10/2020,49.571875
3/11/2020,48.428125
3/12/2020,55.3
3/13/2020,60.425
3/14/2020,59.034375
3/15/2020,52.53125
3/16/2020,61.496875
3/17/2020,65.846875
3/18/2020,60.28125
3/19/2020,61.225
3/20/2020,69.15625
3/21/2020,69.7375
3/22/2020,69.653125
3/23/2020,69.58125
3/24/2020,65.5
3/25/2020,63.96875
3/26/2020,67.93125
3/27/2020,70.40625
3/28/2020,68.190625
3/29/2020,65.79375
3/30/2020,62.13125
3/31/2020,59.69375
4/1/2020,64.7875
4/2/2020,62.6875
4/3/2020,62.121875
4/4/2020,62.178125
4/5/2020,73.7
4/6/2020,75.559375
4/7/2020,74.096875
4/8/2020,73.584375
4/9/2020,70.165625
4/10/2020,64.915625
4/11/2020,61.6625
4/12/2020,64.096875
4/13/2020,67.78125
4/14/2020,69.13125
4/15/2020,72.35
4/16/2020,74.0375
4/17/2020,73.053125
4/18/2020,72.409375
4/19/2020,73.828125
4/20/2020,77.509375
4/21/2020,74.3
4/22/2020,72.4125
4/23/2020,69.0875
4/24/2020,67.55
4/25/2020,70.090625
4/26/2020,70.4
4/27/2020,74.91875
4/28/2020,76.446875
4/29/2020,73.98125
4/30/2020,71.896875
5/1/2020,74.03125
5/2/2020,74.059375
5/3/2020,76.91875
5/4/2020,80.33125
5/5/2020,77.54375
5/6/2020,74.8625
5/7/2020,73.875
5/8/2020,75.39375
5/9/2020,74.025
5/10/2020,74.175
5/11/2020,78.6375
5/12/2020,78.5625
5/13/2020,75.80625
5/14/2020,73.396875
5/15/2020,72.48125
5/16/2020,73.015625
5/17/2020,72.00625
5/18/2020,73.19375
5/19/2020,75.54375
5/20/2020,75.928125
5/21/2020,78.415625
5/22/2020,79.96875
5/23/2020,77.609375
5/24/2020,76.696875
5/25/2020,77.1625
5/26/2020,75.871875
5/27/2020,74.865625
5/28/2020,76.809375
5/29/2020,76.46875
5/30/2020,71.246875
5/31/2020,70.903125
6/1/2020,72.43125
6/2/2020,71.484375
6/3/2020,69.4
6/4/2020,71.728125
6/5/2020,70.15625
6/6/2020,71.05
6/7/2020,76.496875
6/8/2020,77.79375
6/9/2020,76.64375
6/10/2020,74.89375
6/11/2020,73.8125
6/12/2020,71.975
6/13/2020,69.175
6/14/2020,65.4
6/15/2020,61.896875
6/16/2020,57.228125
6/17/2020,56.759375
6/18/2020,66.15
6/19/2020,72.159375
6/20/2020,75.928125
6/21/2020,72.3625
6/22/2020,64.325
6/23/2020,63.48125
6/24/2020,71.484375
6/25/2020,72.853125
6/26/2020,70.4625
6/27/2020,66.234375
6/28/2020,61.6875
6/29/2020,55.753125
6/30/2020,53.703125
7/1/2020,63.11875
7/2/2020,71.3375
7/3/2020,71.296875
7/4/2020,73.75
7/5/2020,73.596875
7/6/2020,67.7625
7/7/2020,66.484375
7/8/2020,66.9125
7/9/2020,65.98125
7/10/2020,60.290625
7/11/2020,59.3625
7/12/2020,60.340625
7/13/2020,58.546875
7/14/2020,58.228125
7/15/2020,59.2375
7/16/2020,64.1125
7/17/2020,53.065625
7/18/2020,43.975
7/19/2020,42.375
7/20/2020,44.26875
7/21/2020,45.765625
7/22/2020,34.978125
7/23/2020,40.221875
7/24/2020,48.721875
7/25/2020,45.546875
7/26/2020,44.99375
7/27/2020,50.25625
7/28/2020,62.684375
7/29/2020,54.878125
7/30/2020,52.3375
7/31/2020,53.925
8/1/2020,53.14375
8/2/2020,46.940625
8/3/2020,42.925
8/4/2020,44.609375
8/5/2020,49.878125
8/6/2020,44.371875
8/7/2020,38.340625
8/8/2020,34.7125
8/9/2020,40.18125
8/10/2020,42.05
8/11/2020,46.43125
8/12/2020,38.1125
8/13/2020,35.875
8/14/2020,35.175
8/15/2020,37.709375
8/16/2020,43.11875
8/17/2020,56.296875
8/18/2020,49.1625
8/19/2020,39.596875
8/20/2020,37.96875
8/21/2020,43.64375
8/22/2020,48.340625
8/23/2020,51.93125
8/24/2020,46.85625
8/25/2020,49.39375
8/26/2020,48.60625
8/27/2020,44.15
8/28/2020,43.8125
8/29/2020,41.9875
8/30/2020,42.178125
8/31/2020,44.00625
9/1/2020,49.1375
9/2/2020,42.815625
9/3/2020,46.4875
9/4/2020,45.671875
9/5/2020,39.41875
9/6/2020,36.728125
9/7/2020,34.528125
9/8/2020,30.996875
9/9/2020,34.06875
9/10/2020,53.978125
9/11/2020,44.303125
9/12/2020,40.19375
9/13/2020,40.834375
9/14/2020,34.88125
9/15/2020,35.571875
9/16/2020,38.584375
9/17/2020,47.7625
9/18/2020,42.49375
9/19/2020,37.515625
9/20/2020,51.840625
9/21/2020,55.075
9/22/2020,41.375
9/23/2020,31.415625
9/24/2020,35.36875
9/25/2020,37.1875
9/26/2020,40.28125
9/27/2020,45.45
9/28/2020,43.4625
9/29/2020,27.071875
9/30/2020,21.675